Date           Open    High    Low     Close   AdjCl   Volume
Jul 20, 2018   94.73   95.08   94.30   95.00   95.00   484900
Jul 19, 2018   95.14   95.88   94.90   95.00   95.00   574900
Jul 18, 2018   94.52   95.65   94.40   95.59   95.59   528500
Jul 17, 2018   93.55   94.50   93.32   94.45   94.45   789200
Jul 16, 2018   93.16   94.41   93.16   93.89   93.89   493100
Jul 13, 2018   93.23   93.52   92.67   93.11   93.11   608700
Jul 12, 2018   91.94   93.57   91.83   93.37   93.37   1184400
Jul 11, 2018   90.31   91.57   90.31   91.38   91.38   731200
Jul 10, 2018   90.78   91.44   90.63   90.76   90.76   820800
Jul 09, 2018   90.40   91.53   90.40   91.18   91.18   733700
Jul 06, 2018   90.36   90.71   89.70   90.11   90.11   791700
Jul 05, 2018   90.32   90.88   89.76   90.33   90.33   616700
Jul 03, 2018   92.92   92.92   89.99   90.14   90.14   505300
Jul 02, 2018   91.29   92.47   90.80   91.67   91.67   573500
Jun 29, 2018   91.84   92.57   91.24   91.27   91.27   868700
Jun 28, 2018   91.09   91.85   90.66   91.55   91.55   831300
Jun 27, 2018   91.90   92.69   91.05   91.12   91.12   926900
Jun 26, 2018   91.71   92.29   91.24   91.65   91.65   840500
Jun 25, 2018   93.14   93.63   91.10   91.87   91.87   1222400
Jun 22, 2018   94.37   94.51   93.17   93.60   93.60   1424500
Jun 21, 2018   94.11   94.68   93.17   94.13   94.13   1055700
Jun 20, 2018   94.31   94.67   93.82   93.89   93.89   1059700
Jun 19, 2018   93.67   94.07   93.21   93.99   93.99   876400
Jun 18, 2018   94.40   94.86   94.12   94.21   94.21   749200
Jun 15, 2018   94.57   95.10   94.01   94.92   94.92   853900
Jun 14, 2018   95.39   95.79   94.65   94.77   94.77   493800
Jun 13, 2018   95.40   96.19   95.20   95.31   94.87   688200
Jun 12, 2018   95.37   95.60   94.74   95.32   94.88   646500
Jun 11, 2018   95.28   95.59   95.03   95.11   94.67   516800
Jun 08, 2018   95.26   95.39   92.77   95.13   94.69   904800
Jun 07, 2018   94.74   95.71   94.71   95.23   94.79   1272200
Jun 06, 2018   93.48   94.92   93.34   94.87   94.43   1166000
Jun 05, 2018   93.21   93.69   92.82   93.30   92.87   963500
Jun 04, 2018   92.50   93.41   92.33   93.11   92.68   1571600
Jun 01, 2018   92.64   93.02   91.85   92.09   91.66   1594800
May 31, 2018   93.29   93.98   91.65   91.86   91.44   1274800
May 30, 2018   92.87   94.33   92.77   93.44   93.01   1407500
May 29, 2018   92.23   92.88   91.61   92.20   91.77   902000
May 25, 2018   92.42   92.90   92.07   92.78   92.35   1082500
May 24, 2018   91.77   92.72   91.08   92.61   92.18   1388200
May 23, 2018   91.06   91.93   90.75   91.89   91.47   661100
May 22, 2018   91.22   91.94   90.50   91.51   91.09   979000
May 21, 2018   90.32   91.36   90.32   91.21   90.79   475600
May 18, 2018   90.40   90.61   90.02   90.07   89.65   994300
May 17, 2018   89.97   90.71   89.69   90.57   90.15   510000
May 16, 2018   89.95   90.71   89.38   90.24   89.82   763100
May 15, 2018   90.06   90.97   89.75   89.95   89.53   805700
